frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
498,8.3083,655,508,581,654,17.076,-26.878,0
499,8.32498,647,511,567,652,14.036,-29.57,0
500,8.34167,640,515,555,651,11.31,-32.005,0
501,8.35835,630,512,544,651,7.977,-31.745,0
502,8.37503,621,516,534,653,4.616,-32.417,0
503,8.39172,610,516,525,655,0.712,-31.446,0
504,8.4084,599,516,518,657,-3.2,-29.876,0
505,8.42508,585,517,512,660,-8.081,-27.044,0
506,8.44177,572,513,507,662,-12.836,-23.569,0
507,8.45845,561,511,504,662,-16.767,-20.681,0
508,8.47513,550,505,503,661,-21.14,-16.767,0
509,8.49182,538,503,501,659,-25.313,-13.343,0
510,8.5085,530,497,501,656,-28.78,-10.337,0
511,8.52518,522,492,500,653,-32.118,-7.781,0
512,8.54187,515,488,498,649,-34.963,-6.028,0
513,8.55855,509,484,497,644,-37.504,-4.289,0
514,8.57523,505,481,495,643,-39.265,-3.532,0
515,8.59192,503,478,493,640,-40.486,-3.532,0
516,8.6086,501,476,490,639,-41.486,-3.861,0
517,8.62528,501,477,488,638,-41.252,-4.616,0
518,8.64197,501,477,484,638,-41.252,-6.028,0
519,8.65865,503,478,481,639,-40.486,-7.781,0
520,8.67533,505,480,477,640,-39.489,-9.926,0
521,8.69202,510,483,473,642,-37.439,-13.1,0
522,8.7087,515,487,469,643,-35.166,-16.429,0
523,8.72538,522,491,466,644,-32.307,-20.103,0
524,8.74207,530,496,462,643,-28.951,-24.825,0
525,8.75875,538,502,460,642,-25.463,-29.124,0
526,8.77543,548,506,460,639,-21.67,-33.491,0
